,日期,收盘价(元)
93,2015/06/30,64.3355293121513
94,2015/07/01,61.9229822209727
95,2015/07/02,65.0546056988167
96,2015/07/03,66.5882778559274
97,2015/07/06,67.1343657300093
98,2015/07/07,59.6329896616461
99,2015/07/08,67.2857530931037
100,2015/07/09,60.4764966113257
101,2015/07/10,58.1972941371799
102,2015/07/13,57.5373599886825
103,2015/07/14,53.1408406943969
104,2015/07/15,48.1873286490419
105,2015/07/16,43.2108933062624
106,2015/07/17,35.3521733386115
107,2015/07/20,38.5219705416443
108,2015/07/21,39.6635230867621
109,2015/07/22,34.0852645029833
110,2015/07/23,30.4083938909519
111,2015/07/24,30.9573596384206
112,2015/07/27,37.4930158650063
113,2015/07/28,42.4775395108867
114,2015/07/29,44.0225244524649
115,2015/07/30,42.7860848525163
116,2015/07/31,42.27403948762
117,2015/08/03,42.0500035319134
118,2015/08/04,39.2373491461785
119,2015/08/05,39.2688123846219
120,2015/08/06,41.1071717551331
121,2015/08/07,39.2626957260622
122,2015/08/10,38.7087292999549
123,2015/08/11,38.2787250837928
124,2015/08/12,37.8937055194192
125,2015/08/13,37.4625728303022
126,2015/08/14,37.6086973811031
127,2015/08/17,37.9861553012073
128,2015/08/18,38.0105517477943
129,2015/08/19,37.7185877267858
130,2015/08/20,39.2905456313375
131,2015/08/21,39.1597597599209
132,2015/08/24,68.420614212839
133,2015/08/25,82.6922014506495
134,2015/08/26,79.0257878540407
135,2015/08/27,64.8558358630607
136,2015/08/28,64.5476456611886
137,2015/08/31,68.3179963613592
138,2015/09/01,70.9793067217644
139,2015/09/02,68.5102429276054
140,2015/09/07,66.8917521330862
141,2015/09/08,49.7757871687056
142,2015/09/09,46.8052045994243
143,2015/09/10,42.2638109369961
144,2015/09/11,41.253037319524
145,2015/09/14,42.6677132225341
146,2015/09/15,46.2061879018448
147,2015/09/16,42.1365128710064
148,2015/09/17,41.5375668035037
149,2015/09/18,40.0129709586645
150,2015/09/21,39.924797761852
151,2015/09/22,36.6718251796183
152,2015/09/23,37.5773725061814
153,2015/09/24,36.8132101907091
154,2015/09/25,32.352956708699
155,2015/09/28,29.4984237324249
156,2015/09/29,28.621645682163
157,2015/09/30,28.772837595263
158,2015/10/08,31.21608963878
159,2015/10/09,29.6498493305322
160,2015/10/12,31.2075123127832
161,2015/10/13,31.357488046905
162,2015/10/14,30.8038619482269
163,2015/10/15,28.6937619836346
164,2015/10/16,28.4491460374968
